,answerPassageId,createdAt,answerPassageText,authorUID,question,corpusVersion,language
4436,101762-3,2024-05-02 11:45:38.510555+00:00,"¿Qué puede hacer: Es posible prevenir en parte el dolor de espalda haciendo lo siguiente:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/134,52_ES",lorena-trial,How can I relieve back pain during pregnancy?,v0.1,es
4448,104-4,2023-07-01 10:39:51.180473+00:00,"La investigación sobre la pérdida de cabello después del parto no está clara. Algunos hallazgos sugieren que esto puede ser un mito popular, mientras que otros estudios sugieren que hasta 18% de las mujeres reportan pérdida de cabello. Se cree que durante el embarazo, el cabello estaba en una fase de crecimiento y por lo tanto no se cae como lo haría normalmente. Unos meses después del parto, las mujeres pueden darse cuenta de que están perdiendo grandes cantidades de cabello.

source: https://www.saludmadre.com/cuidadopersonal/los-cambios-en-el-cuerpo",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque se le cae el cabello a uno durante la maternidad,v0.1,es
4472,9151-21,2023-07-06 09:22:51.683145+00:00,"Puede ser difícil saber cuándo empezar a enseñarle a ir al baño. La preparación física y emocional de su hijo es el aspecto más importante de encontrar el momento oportuno. Usted y su hijo probablemente se sientan frustrados si trata de enseñarle a su hijo a ir al baño antes de que esté listo.

source: https://espanol.kaiserpermanente.org/es/maryland-virginia-washington-dc/health-wellness/health-encyclopedia/he.ta3612",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cuándo puedo empezar a entrenar para ir al baño?,v0.1,es
4523,1465-23,2023-09-14 15:42:13.701605+00:00,"Para administrar jarabes u otros líquidos, lo mejor es utilizar una jeringuilla (en lugar de una cuchara o cucharita) a fin de asegurarse de que su hijo toma exactamente la cantidad que debe tomar. Puede comprar este tipo de jeringuillas en su farmacia. ¿Y si su hijo se toma una dosis incorrecta de medicamento? Llame al farmacéutico o al pediatra del niño de inmediato y siga sus instrucciones.

source: https://kidshealth.org/es/parents/pharmacist.html",3,jaundice,v0.1,es
4543,1581-4,2023-06-03 10:28:04.561946+00:00,"Cuando tú estás embarazada, lo que comes es la fuente primordial de la nutrición de tu bebé. De hecho, el vínculo entre lo que tu consumes y la salud de tu bebé es hoy mucho más fuerte de lo que una vez se pensó. Por ello los médicos ahora dicen, por ejemplo, que no se debe tomar nada de alcohol durante el embarazo.

source: https://kidshealth.org/es/parents/eating-pregnancy.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Con que alimentos debo  alimentar  a mi bebe para que sea saludable,v0.1,es
4564,116054-5,2024-05-06 14:45:07.457191+00:00,"Día Mundial del Niño Prematuro «Se la han llevado al templo»

Continúe leyendo aquí: https://www.who.int/es/news-room/commentaries/7",AelZYirIiKRU36tUn84YHMSPNkE2,What is baby 7,v0.1,es
4576,2525-0,2024-05-01 12:04:02.292232+00:00,"P Mi hijo siempre ha sido muy activo. Pareciera que nunca descansa. ¿Cómo puedo saber si mi hijo tiene TDAH o si solamente tiene mucha energía?

Continúe leyendo aquí: https://childmind.org/es/articulo/tiene-mi-hijo-tdah-o-solamente-altos-niveles-de-energia/",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que mi hijo sea muy emperactivo,v0.1,es
4588,889-17,2023-06-03 11:27:47.949296+00:00,"Si su hijo tiene una conjuntivitis alérgica, el médico puede recetarle medicamentos antialérgicos, sea en forma de comprimidos, de jarabe o de gotas oculares.

source: https://kidshealth.org/es/parents/conjunctivitis.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque a mi bebe le dan alergias en los ojos,v0.1,es
4603,46194-7,2024-05-02 11:46:06.932919+00:00,"Qué hacer cuando algo no está bien: Tu bebé podría alcanzar algunos hitos fundamentales del desarrollo antes de lo esperado, pero retrasarse en alcanzar otros. Esto es común, pero es una buena idea conocer algunas señales de advertencia para detectar un retraso en el desarrollo. Habla con el proveedor de atención médica de tu bebé si notas algunas de estas señales de alerta:

Continúe leyendo aquí: https://www.mayoclinic.org/es/healthy-lifestyle/infant-and-toddler-health/in-depth/infant-development/art-20048012",lorena-trial,When should I start worrying if my baby is not reaching developmental milestones?,v0.1,es
4605,46086-9,2024-05-02 11:44:22.909451+00:00,"¿Qué enfermedades ayudan a prevenir las vacunas: Las vacunas ayudan a proteger a su bebé contra estas enfermedades:

Continúe leyendo aquí: https://nacersano.marchofdimes.org/bebe/vacunas.aspx",lorena-trial,¿Cuáles son algunas enfermedades comunes en los bebés y cómo puedo prevenirlas?,v0.1,es
4612,119622-10,2024-05-02 11:48:04.764056+00:00,"¿Qué alimentos debo evitar durante el embarazo: Durante el embarazo, debe evitar:

Continúe leyendo aquí: https://medlineplus.gov/spanish/pregnancyandnutrition.html",lorena-trial,¿Qué cosas debo evitar durante el embarazo?,v0.1,es
4630,120076-1,2024-05-02 11:48:06.381562+00:00,"Una de las mejores maneras de prepararse es tomar una clase sobre el parto para saber qué esperar durante este proceso. Usted también aprenderá:<br>- Cómo respirar, visualizar y apoyarse en su instructor de parto.<br>- Más sobre las maneras de manejar el dolor, como la anestesia epidural y otros medicamentos..

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/patientinstructions/000612.htm",lorena-trial,¿Cuáles son algunas formas de prepararse para el parto y el parto?,v0.1,es
4650,9372-76,2023-06-15 10:12:29.147083+00:00,"Se enojan cuando usted u otro cuidador se va. Pueden haber empezado a gatear.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hw251065",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que mi bebe de 10 meses aun no gatee,v0.1,es
4669,100945-1,2024-05-02 11:27:47.632527+00:00,"<br>- Cada mes desde la semana 4 hasta la semana 28<br>- Cada 2 semanas desde la semana 29 hasta la semana 36<br>- Todas las semanas desde la semana 37 hasta el parto

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04331",lorena-trial,How often should I schedule prenatal appointments?,v0.1,es
4674,17740-45,2023-06-15 10:58:04.485614+00:00,"Es posible que su hijo tenga dificultad para comer. Un dietista tal vez pueda ayudarlo.

source: https://www.stanfordchildrens.org/es/topic/default?id=tumor-de-wilms-90-P05858",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que mi hijo no coma,v0.1,es
4682,131047-11,2024-05-02 11:48:54.619621+00:00,"¿Cuáles son algunas pautas básicas para hacer ejercicio de manera segura durante el embarazo?

Continúe leyendo aquí: https://mothertobaby.org/es/hojas-informativas/el-ejercicio/",lorena-trial,¿Cuáles son algunos ejercicios seguros para hacer durante el embarazo?,v0.1,es
4699,38642-9,2023-06-08 14:10:19.675463+00:00,"También hay recursos para que amigos y familiares apoyen a las madres que acaban de dar a luz, tales como la iniciativa Mom's Mental Health Matters del Programa de educación para la salud de la madre y el hijo de los NIH.

source: https://espanol.womenshealth.gov/blog/community-support-new-moms",l3eCwZbbUNTonTWXrUayZ2no5C93,Recursos para madres sin seguro de salud,v0.1,es
4702,40507-23,2024-05-02 11:50:15.696328+00:00,"Cómo formar buenos hábitos de sueño: Puede ayudar a su bebé a dormir bien. Aquí tiene algunas ideas.

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/colorado/health-wellness/health-encyclopedia/he.te6304",lorena-trial,¿Cuáles son algunos patrones de sueño comunes para los bebés y cómo puedo establecer una buena rutina de sueño?,v0.1,es
4703,41337-40,2024-05-02 11:48:08.171930+00:00,"Las señales de que está en trabajo de parto incluyen:<br>- Contracciones regulares durante al menos 1 hora. Esto significa alrededor de 4 o más contracciones en 20 minutos, o alrededor de 8 o más en una sola hora.<br>- Una pérdida repentina de líquido de la vagina..

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/washington/health-wellness/health-encyclopedia/he.tw9725",lorena-trial,¿Cuáles son algunas señales de que estoy en trabajo de parto?,v0.1,es
4718,13103-0,2024-05-02 10:49:12.745056+00:00,"Bebés y niños pequeños: Reflexionar y mejorar sus habilidades y conocimientos para ayudar a los niños a comenzar a desarrollar sus destrezas motrices finas es un trabajo importante. Estas son algunas ideas que puede probar con su instructor o supervisor para conformar sus prácticas docentes en esta área:

Continúe leyendo aquí: https://eclkc.ohs.acf.hhs.gov/es/preparacion-escolar/effective-practice-guides/motricidad-fina-mejorar",lorena-trial,¿Cuáles son algunas formas de ayudar a mi bebé a desarrollar habilidades motoras finas?,v0.1,es
4725,119512-2,2024-05-02 11:47:24.149768+00:00,"El problema cutáneo más común en los bebés es la dermatitis del pañal. Es una irritación de la piel causada por humedad, orina o heces. La mayoría de los bebés que usan pañales tendrán algún tipo de esta dermatitis en algún momento.

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/003259.htm",lorena-trial,¿Cuáles son algunas afecciones cutáneas comunes en los bebés y cómo puedo tratarlas?,v0.1,es
4726,9351-52,2023-07-11 01:12:33.769924+00:00,"La mayoría de los bebés duermen un total de 18 horas al día. Se despiertan por poco tiempo, como mínimo, cada 2 o 3 horas. Siempre debe hacer dormir al bebé boca arriba, no sobre el abdomen. Esto reduce el riesgo del síndrome de muerte infantil súbita (SIDS, por sus siglas en inglés).

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.abl1277",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cuánto tiempo debe dormir la siesta mi bebé?,v0.1,es
4754,9345-14,2023-06-28 13:40:49.815481+00:00,"Los bebés, especialmente aquellos menores de 4 meses, suelen tratarse en el hospital. Esto le permite al médico observar lo bien que el bebé sobrelleva y se recupera de los episodios de tos. También hace que sea más fácil para el bebé obtener oxígeno adicional y otra atención que requiera.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hw65653",uzUHMWNCyAN5m0NVRYzzL5OYrQB2,Que hago cuando mi bebé tiene un tos,v0.1,es
4788,39466-7,2024-06-15 11:07:53.234586+00:00,"Incorporación de alimentos sólidos: Aproximadamente a los 6 meses, la mayoría de los bebés pueden comenzar a comer alimentos sólidos. Algunos bebés pueden estar listos para los alimentos sólidos a los 4 o 5 meses. Los alimentos sólidos se dan junto con la leche materna o maternizada.

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/oregon-washington/health-wellness/health-encyclopedia/he.te6304",l3eCwZbbUNTonTWXrUayZ2no5C93,En qué tiempo la damos sólidos a un bebé,v0.1,es
4803,98801-11,2024-04-25 10:23:20.420116+00:00,"¿Qué afecciones pueden causar fiebre: Las siguientes afecciones pueden causar fiebre:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/Infectious/90,P05622",JqIXVmpHhGa9SmYbZpvNasgjlyt2,fiebre,v0.1,es
4812,44112-0,2024-06-08 14:25:20.675324+00:00,"¿Debería preocuparme: Como casi todas las partes del cuerpo, los pechos (o senos) pueden doler de vez en cuando. No solo a las chicas, sino también a los chicos. Es posible que te preocupe cómo te estás desarrollando, qué es lo que te causa el dolor de pechos e, incluso, si podrías tener un cáncer de mama.

Continúe leyendo aquí: https://kidshealth.org/es/teens/sore-breasts.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque duelen los senos,v0.1,es
4817,104-4,2023-07-01 09:42:00.295296+00:00,"La investigación sobre la pérdida de cabello después del parto no está clara. Algunos hallazgos sugieren que esto puede ser un mito popular, mientras que otros estudios sugieren que hasta 18% de las mujeres reportan pérdida de cabello. Se cree que durante el embarazo, el cabello estaba en una fase de crecimiento y por lo tanto no se cae como lo haría normalmente. Unos meses después del parto, las mujeres pueden darse cuenta de que están perdiendo grandes cantidades de cabello.

source: https://www.saludmadre.com/cuidadopersonal/los-cambios-en-el-cuerpo",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque se me cae el cabello después del parto,v0.1,es
4824,120080-5,2024-05-02 11:44:01.886669+00:00,"Elementos para el personal del hospital: Cosas que necesitará en el hospital:

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/patientinstructions/000543.htm",lorena-trial,¿Cuáles son algunas cosas importantes para empacar en mi bolsa de hospital para el parto y el parto?,v0.1,es
4843,479-3,2023-06-26 15:05:10.335235+00:00,"El cáncer de testículo suele afectar a hombres de 20‒34 años de edad. Pero también puede ocurrir en niños y en adolescentes durante la pubertad.

source: https://kidshealth.org/es/parents/testicular-cancer.html",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Cuáles son los síntomas del cáncer de próstata?,v0.1,es
4850,1465-23,2023-05-01 09:21:52.158260+00:00,"Para administrar jarabes u otros líquidos, lo mejor es utilizar una jeringuilla (en lugar de una cuchara o cucharita) a fin de asegurarse de que su hijo toma exactamente la cantidad que debe tomar. Puede comprar este tipo de jeringuillas en su farmacia. ¿Y si su hijo se toma una dosis incorrecta de medicamento? Llame al farmacéutico o al pediatra del niño de inmediato y siga sus instrucciones.

source: https://kidshealth.org/es/parents/pharmacist.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Jaundice,v0.1,es
4856,7316-83,2023-06-15 10:10:59.178445+00:00,"Este video muestra los Enfoques de Aprendizaje para bebés. Observe a un niño de 7 meses que está aprendiendo a gatear (video en inglés).

source: https://eclkc.ohs.acf.hhs.gov/es/preparacion-escolar/home-visitors-online-handbook/enfoques-de-aprendizaje",l3eCwZbbUNTonTWXrUayZ2no5C93,Edad para aprender a gatear,v0.1,es
4863,7964-79,2023-07-10 09:39:19.061580+00:00,"Trate de quitarle el chupete a su hijo antes de los 6 meses de edad. Los bebés que usan chupetes después de los 12 meses de edad tienen más probabilidades de contraer infecciones de oído. No le dé un chupete (chupón) a su bebé.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hw184385",LfrdulxiEUWpzj0NSZWpPoaHdR23,Como debo limpiarle los oídos a mi bebe,v0.1,es
4872,98576-14,2024-05-02 11:44:30.109459+00:00,"Consulte al proveedor de atención médica de su bebé sobre la mejor manera de añadir nuevos alimentos a su dieta.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/Growth/90,P05345",lorena-trial,¿Cuáles son algunas formas de presentarle a mi bebé nuevos alimentos?,v0.1,es
4925,25173-90,2024-05-02 10:49:13.724516+00:00,"¡La creatividad en la primera infancia es mucho más que crayones y pintura con los dedos! La creatividad incluye el modo en que los niños prueban nuevas ideas, experimentan con sus habilidades para resolver problemas y ejercitan su imaginación a medida que dan sentido al mundo que los rodea. Aprenda a usar las 5 erres de los líderes de aprendizaje temprano (razón, recursos, relaciones receptivas, diálogos reflexivos y reconocimiento) para promover la creatividad de los niños pequeños y el personal educativo que fomenta su crecimiento y desarrollo.

Continúe leyendo aquí: https://eclkc.ohs.acf.hhs.gov/es/video/exploracion-de-las-5-erres-del-liderazgo-para-apoyar-la-creatividad-de-los-ninos-pequenos",lorena-trial,¿Cuáles son algunas formas de fomentar la creatividad de mi bebé?,v0.1,es
4982,43389-8,2024-05-02 11:44:37.367983+00:00,"Las grasas saludables: La grasa es una parte importante de una dieta saludable. Durante el embarazo, la grasa es necesaria para el crecimiento y el desarrollo del bebé. Escoja grasas saludables (no saturadas) y limite las grasas insanas, como las saturadas y las trans. Entre las grasas saludables, se encuentran el aceite de oliva, el aceite de colza y otros aceites vegetales, los frutos secos, las semillas, el aguacate y los pescados grasos, como el salmón.

Continúe leyendo aquí: https://kidshealth.org/es/parents/moms-nutrients.html",lorena-trial,¿Cuáles son algunos alimentos saludables para comer durante el embarazo?,v0.1,es
4990,87330-11,2024-05-02 10:48:36.899725+00:00,"¿Cómo puedo aliviar las molestias comunes del embarazo: Para las náuseas y los vómitos:

Continúe leyendo aquí: https://www.plannedparenthood.org/es/temas-de-salud/embarazo/atencion-prenatal/que-sucede-en-las-citas-de-atencion-prenatal",lorena-trial,¿Cuáles son algunas molestias comunes durante el embarazo y cómo puedo aliviarlas?,v0.1,es
4993,228-43,2023-05-17 11:33:37.011146+00:00,"Los bebés suelen tragar aire mientras se alimentan y esto puede hacer que estén incómodos o molestos. Para ayudar a prevenir este problema, haga eructar a su bebé a menudo. Intente hacerlo eructar cada 2-3 onzas (60-90 ml) de leche si le da el biberón o cada vez que lo cambie de pecho si lo amamanta.

source: https://kidshealth.org/es/parents/guide-parents.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Qué hacer para sacarle el aire al bebé,v0.1,es
4995,98576-14,2024-05-02 11:42:53.478406+00:00,"Consulte al proveedor de atención médica de su bebé sobre la mejor manera de añadir nuevos alimentos a su dieta.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/Growth/90,P05345",lorena-trial,¿Cuáles son algunas formas de presentarle a mi bebé nuevos alimentos?,v0.1,es
4999,87330-11,2024-05-02 11:42:19.871561+00:00,"¿Cómo puedo aliviar las molestias comunes del embarazo: Para las náuseas y los vómitos:

Continúe leyendo aquí: https://www.plannedparenthood.org/es/temas-de-salud/embarazo/atencion-prenatal/que-sucede-en-las-citas-de-atencion-prenatal",lorena-trial,¿Cuáles son algunas molestias comunes durante el embarazo y cómo puedo aliviarlas?,v0.1,es
5058,689-7,2023-05-11 10:41:33.808800+00:00,"Hemangiomas. Los hemangiomas son superficiales si se encuentran en la superficie de la piel, (manchas color fresa), profundos si se encuentran debajo de la superficie de la piel y compuestos cuando afectan a las dos capas. Los hemangiomas pueden sobresalir levemente y ser de color rojo intenso; en general, no se ven hasta después de unos pocos días o semanas del nacimiento del bebé. Los hemangiomas profundos tal vez se vean de color azulado porque involucran vasos sanguíneos ubicados en las capas profundas de la piel.

source: https://kidshealth.org/es/parents/birthmarks.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Por que salen muchas manchas en las piernas de mi bebé,v0.1,es
5172,241-10,2023-05-06 13:43:20.184578+00:00,"A veces, los bebés no tienen ganas de hablar o vocalizar. Tal vez necesiten un descanso de tanta estimulación. Es posible que los bebés aparten la vista, cierren los ojos o se pongan inquietos o irritables. Si esto ocurre, deje que su bebé descanse o simplemente abrácelo.

source: https://kidshealth.org/es/parents/c13m.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que mi bebe de dos años no hable,v0.1,es
5218,21563-1,2024-05-02 11:42:55.195574+00:00,"Consejos para aliviar el dolor de la dentición de su bebé:<br>-

Continúe leyendo aquí: https://eclkc.ohs.acf.hhs.gov/es/publicacion/como-aliviar-el-dolor-de-la-denticion-de-su-bebe",lorena-trial,¿Cuáles son algunas formas de ayudar a mi bebé con el dolor de la dentición?,v0.1,es
5222,2015-2,2023-05-19 11:56:50.148262+00:00,"La fiebre se refiere a un aumento temporal de la temperatura corporal, generalmente debido a una enfermedad. La temperatura corporal típica de una persona es de aproximadamente 98.6oF (37oC). Durante el embarazo, una temperatura corporal superior a 101oF (38.3oC) puede ser motivo de preocupación, especialmente si dura un periodo prolongado al principio del embarazo.

source: https://mothertobaby.org/es/hojas-informativas/la-hipertermia/",LfrdulxiEUWpzj0NSZWpPoaHdR23,Es un cambio en la temperatura corporal un signo de trabajo de parto?,v0.1,es
5232,1191-1,2023-05-09 12:58:32.826631+00:00,"Los médicos piden esta prueba para saber la cantidad de bilirrubina que contiene la sangre. Una concentración elevada de bilirrubina en sangre puede significar que hay un problema hepático o que se está descomponiendo una cantidad excesiva de glóbulos rojos.

source: https://kidshealth.org/es/parents/test-bilirubin.html",V88m8gxhi4aKTeNfKnw8fd1w0n53,Bilirrubin,v0.1,es
5242,670-5,2023-05-17 11:30:13.569025+00:00,"Hable con el médico de su hijo antes de darle cualquier medicamento para el estreñimiento.

source: https://kidshealth.org/es/parents/constipation-sheet.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que hacer si mi bebe pádece de  estreñimiento,v0.1,es
5271,46074-4,2024-05-02 11:48:36.423747+00:00,"¿Cómo puede proteger a su bebé del asbesto en su hogar: Puede hacer lo siguiente:

Continúe leyendo aquí: https://nacersano.marchofdimes.org/bebe/el-asbesto-y-su-bebe.aspx",lorena-trial,¿Cuáles son algunas formas de proteger a mi bebé en mi hogar?,v0.1,es
5311,1482-0,2023-04-29 00:40:22.033982+00:00,"Una vía intravenosa (IV) es un tubito blando y flexible que se coloca dentro de una vena, generalmente de la mano o del brazo. Los profesionales de la salud usan las VI para administrar medicamentos u otras sustancias líquidas a sus pacientes.

source: https://www.cdc.gov/ncbddd/disabilityandsafety/emergency.html",dVwZK4f6qdMiBlg5fEU5HmvwqLa2,I,v0.1,es
5313,490-1,2023-05-31 21:13:23.006766+00:00,"Los terrores nocturnos son una interrupción del sueño que parecen similares a una pesadilla, pero son mucho más dramáticos. Si bien los terrores nocturnos pueden resultar alarmantes para los padres, no suelen ser una causa de preocupación ni una señal de un problema médico más serio.

source: https://kidshealth.org/es/parents/terrors.html",QbpRA7yqNATq6w1ftOgCWKMptnh2,Que son los terrores nocturnos?,v0.1,es
5315,131047-11,2024-05-02 11:47:58.360824+00:00,"¿Cuáles son algunas pautas básicas para hacer ejercicio de manera segura durante el embarazo?

Continúe leyendo aquí: https://mothertobaby.org/es/hojas-informativas/el-ejercicio/",lorena-trial,¿Cuáles son algunos ejercicios seguros para hacer durante el embarazo?,v0.1,es
5382,43409-22,2024-05-01 11:41:49.187711+00:00,"Comenzar a darle alimentos sólidos al bebé: Sepa si su bebé está listo para los alimentos sólidos y, de ser así, qué alimentos darle, cómo dárselos y cuáles evitar.

Continúe leyendo aquí: https://kidshealth.org/es/parents/feed47m.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Le puedo dar sólidos a mi bebé,v0.1,es
5420,42660-2,2024-05-02 10:49:17.783034+00:00,"1. Ayude a su hijo a aprender a hacer cosas. Para un bebé, aprender a sostener una taza o dar los primeros pasos provocan una sensación de comprensión y placer. Cuando un niño crece, cosas como aprender a vestirse, leer o andar en bicicleta son oportunidades para hacer crecer la autoestima.

Continúe leyendo aquí: https://kidshealth.org/es/parents/boost-self-esteem.html",lorena-trial,¿Cuáles son algunas formas de fomentar el amor de mi bebé por el aprendizaje?,v0.1,es
5423,258-3,2023-05-21 09:04:09.516485+00:00,"Esta es la primera posición que muchas madres utilizan, con frecuencia poco después del nacimiento del bebé. Para comenzar, sujete al bebé entre los brazos, con la cabeza apoyada en el pliegue del brazo y la nariz del bebé frente al pezón. Use la mano para sujetar las nalgas del bebé. Gire al bebé de costado, para que el abdomen del bebé esté en contacto con el suyo. Después, alce al bebé hasta su pecho. Puede sostenerse el pecho con la otra mano.

source: https://kidshealth.org/es/parents/nursing-positions.html",V88m8gxhi4aKTeNfKnw8fd1w0n53,Newborn sitting position,v0.1,es
5433,103104-3,2024-05-02 10:48:58.622371+00:00,"Cuando empiece a comer alimentos sólidos, dele a su bebé un alimento nuevo a la vez. No use mezclas, como cereales y frutas o cenas con carne de res. Dele el alimento nuevo durante 2 a 3 días antes de agregar otro alimento nuevo. De esta manera, puede saber a qué alimentos su bebé puede ser alérgico o qué alimentos no puede tolerar.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/90,p05805",lorena-trial,¿Cómo puedo introducir de manera segura a mi bebé a nuevos alimentos?,v0.1,es
5509,87356-5,2024-05-02 11:45:22.249631+00:00,"¿Cada cuánto son las citas de control prenatal: La frecuencia con que recibas atención prenatal depende de qué tan avanzado esté tu embarazo y qué tanto riesgo tengas de tener problemas. Para alguien de 18 a 35 años que está saludable, las citas de atención prenatal por lo general se programan de la siguiente manera:

Continúe leyendo aquí: https://www.plannedparenthood.org/es/temas-de-salud/embarazo/atencion-prenatal",lorena-trial,¿Con qué frecuencia debo ir a las citas prenatales?,v0.1,es
5530,41247-24,2024-05-02 11:42:56.569245+00:00,"Desarrollo del lenguaje: Fomente el desarrollo del lenguaje de su hijo de la siguiente manera:

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/hawaii/health-wellness/health-encyclopedia/he.te7089",lorena-trial,¿Cuáles son algunas formas de fomentar el desarrollo del lenguaje de mi bebé?,v0.1,es
5578,41247-24,2024-05-02 11:49:35.182705+00:00,"Desarrollo del lenguaje: Fomente el desarrollo del lenguaje de su hijo de la siguiente manera:

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/hawaii/health-wellness/health-encyclopedia/he.te7089",lorena-trial,¿Cuáles son algunas formas de fomentar el desarrollo del lenguaje de mi bebé?,v0.1,es
5587,677-17,2023-06-06 19:17:31.364524+00:00,"Por ejemplo, hemos ayudado a una mujer a la que su plan le dijo que tenía un copago porque solo se cubrían píldoras genéricas; pero su píldora de marca no tenía una versión genérica. Después de que la ayudamos con su reclamo, el plan aceptó cubrir sus píldoras de marca y todas las otras marcas que no tienen versiones genéricas.

source: https://www.bedsider.org/es/features/257-got-health-insurance-hello-birth-control-options",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque mi bebe muerde muchas cosas,v0.1,es
5601,1592-7,2023-05-11 10:36:59.932339+00:00,"En los casos más graves, el bebé llega al servicio de urgencias del hospital, a otro tipo de centro de urgencias o a la consulta del médico, inconsciente, con convulsiones o en estado de choque.

source: https://kidshealth.org/es/parents/shaken.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuando mi bebe esta muy grave q lo q puedo aser ir al hospital o ala clínica,v0.1,es
5606,16043-7,2024-04-26 13:38:09.581196+00:00,"Alergias: La causa de las alergias (en inglés) es un sistema inmunitario hiperactivo que reacciona a ciertos desencadenantes (llamados alérgenos), como la hierba, el polen, el pelaje de las mascotas o un alimento en específico. Las alergias generalmente se dividen en dos categorías:

Continúe leyendo aquí: https://eclkc.ohs.acf.hhs.gov/es/health-services-management/health-manager-orientation-guide/necesidades-especiales-comunes-que-requieren-atencion-medica",l3eCwZbbUNTonTWXrUayZ2no5C93,Alergias,v0.1,es
5614,124-2,2023-06-14 15:42:23.962569+00:00,"Dicho esto, es importante saber cuándo está bien amamantar y cuándo no. Estas son algunas guías comúnmente reportadas:

source: https://www.saludmadre.com/cuidadopersonal/estoy-enferma-todavia-puedo-amamantar-a-mi-bebe",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Con qué frecuencia debo amamantar?,v0.1,es
5619,8156-7,2023-07-01 11:57:59.454081+00:00,"o con lo satisfecho que está, y aumentan las probabilidades de que el niño coma más de lo que su cuerpo necesita. Esto también puede suceder cuando los niños o los adolescentes siguen dietas para bajar de peso. No funciona poner a un niño a dieta: usted va a obtener el efecto contrario.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.aba5583",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque disminuye el apetito en los niños,v0.1,es
5637,46017-0,2024-05-02 11:45:16.276040+00:00,"Asuntos laborales durante el embarazo: Estas son algunas cosas que puede hacer para que su embarazo en el trabajo no sea problemático.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/embarazo/asuntos-laborales-durante-el-embarazo.aspx",lorena-trial,¿Cuáles son algunas formas de equilibrar el trabajo y la maternidad?,v0.1,es
5641,830-32,2024-05-02 11:43:26.835195+00:00,"¿Cómo sé si mi bebé está recibiendo suficiente leche: Hay muchas señales que puedes observar para saber si tu bebé recibe suficiente leche.

Continúe leyendo aquí: https://espanol.womenshealth.gov/breastfeeding/learning-breastfeed/making-breastmilk",lorena-trial,¿Cuáles son algunas señales de que mi bebé está recibiendo suficiente leche materna?,v0.1,es
5709,39490-40,2024-05-02 11:43:19.691230+00:00,"Nacimiento por cesárea: Una operación cesárea es el tipo de parto de un bebé a través de un corte (incisión) en el abdomen y en el útero de la madre. Suele llamarse cesárea. En la mayoría de los casos, una mujer puede estar despierta durante el parto y estar con el recién nacido poco tiempo después.

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/oregon-washington/health-wellness/health-encyclopedia/he.tn9759",lorena-trial,¿Cuál es la diferencia entre un parto natural y una cesárea?,v0.1,es
